Company Name,Aliases,Website,LinkedIn,Employees,Industry,City,State,Country,Region,Founded Year,Visa Sponsor,Number of Jobs,Description
AESG Ltd,,http://www.aesg.com,http://www.linkedin.com/company/aesg,400,construction,London,,United Kingdom,,,Yes,6,"AESG is a global consultancy, engineering, and advisory firm with headquarters in London, Singapore, Riyadh, Dubai, and Abu Dhabi. The company operates across Europe, the Middle East, Asia, Africa, Australia, and the UK, focusing on high-performance, sustainable solutions for the built environment. AESG combines expertise in sustainability, engineering, and digital technology to tackle complex challenges in building, urban planning, infrastructure, and strategic advisory sectors."
AETN UK,,http://www.hearstnetworks.com,http://www.linkedin.com/company/hearstnetworksemea,400,media production,London,England,United Kingdom,,,Yes,2,"Hearst Networks EMEA is a prominent media and entertainment company focused on premium factual entertainment in Europe, the Middle East, and Africa. Formerly known as A+E Networks EMEA, it operates a diverse portfolio of well-known brands, including The HISTORY Channel, Crime + Investigation, BLAZE, and COSMO. The company delivers content to audiences in over 100 countries, tailoring its offerings to various local markets through its regional entities."
Basingstoke College of Technology,,http://www.bcot.ac.uk,http://www.linkedin.com/school/basingstoke-college-of-technology,400,government administration,Basingstoke,England,United Kingdom,,,Yes,1,"Basingstoke College of Technology (BCoT) is a further education college located in Basingstoke, Hampshire, UK. Established in 1947, it offers a variety of vocational, technical, and higher education courses for students aged 16 and above. The college is known for its practical, hands-on learning approach and features modern classrooms, industry-standard workshops, and laboratories."
BCN Group Ltd,,http://www.bcn.co.uk,http://www.linkedin.com/company/bcn-uk,400,information technology & services,Manchester,England,United Kingdom,,,Yes,3,"BCN is a prominent technology services provider based in the UK, specializing in managed IT services and digital transformation solutions. The company focuses on delivering and supporting business-critical technology solutions that help organizations enhance their IT infrastructure and operations. BCN aims to be a trusted partner in digital transformation, offering comprehensive managed service provider capabilities to ensure exceptional service and support for its clients."
Bighand Limited,,http://www.bighand.com,http://www.linkedin.com/company/bighand,400,information technology & services,London,England,United Kingdom,,,Yes,2,"BigHand is a technology company focused on providing solutions for legal professionals to enhance productivity and operational efficiency. With over 20 years of experience and a global team of 190 staff, BigHand serves more than 3,000 client organizations, offering 545,000 active software licenses. The company emphasizes understanding client challenges and delivering tailored technology solutions."
Braemar ACM Shipbroking Limited,,http://www.braemar.com,http://www.linkedin.com/company/braemar-ltd,400,maritime,London,England,United Kingdom,,,Yes,2,"Braemar is a UK-based public limited company that provides expert advisory services in the shipping industry. Founded in 1982, the company has grown through mergers and acquisitions to become a leading global advisor in shipping markets. Its core services include shipbroking and chartering, vessel sales and purchase, risk management, and financial advisory. Braemar also offers technical and environmental services related to marine and offshore sectors."
Bristol Airport Limited,,http://www.bristolairport.co.uk,http://www.linkedin.com/company/bristol-airport,400,airlines/aviation,Bristol,England,United Kingdom,,,Yes,3,"Bristol Airport is a major civil airport located in South West England, serving as a key international travel hub. Established in 1930 and relocated in 1957 to its current site, the airport has grown significantly, handling millions of passengers each year. It was rebranded from Bristol International Airport to Bristol Airport in 2010."
Cynergy Bank Ltd,,http://www.cynergybank.co.uk,http://www.linkedin.com/company/cynergy-bank,400,banking,London,England,United Kingdom,,,Yes,9,"Cynergy Bank is a specialist bank in the UK, established in December 2018 after acquiring Bank of Cyprus UK. It serves business owners, entrepreneurs, family-run businesses, and SMEs, providing tailored banking solutions for both professional and personal financial needs. Headquartered in London, Cynergy Bank operates as a public limited company and is regulated by the Prudential Regulation Authority (PRA) and the Financial Conduct Authority (FCA)."
DSRC UK Ltd,,http://www.dsrc.com,http://www.linkedin.com/company/dsrc,400,information technology & services,London,England,United Kingdom,,,Yes,1,"DSRC is a global custom software development and IT services company founded in 1973. With over 350 expert developers, it operates in key locations including the United States, the United Kingdom, the Netherlands, and India. The company specializes in delivering tailored digital solutions that streamline and transform businesses."
Energean Group Services,"Energean Group Services Limited, Energean Group Services",http://www.energean.com,http://www.linkedin.com/company/energean,400,oil & energy,London,England,United Kingdom,,2007,Yes,1,"Energean plc is an international hydrocarbon exploration and production company based in London, United Kingdom. Founded in 2007, it focuses primarily on natural gas and operates mainly in the Mediterranean region. Energean is publicly traded on the London Stock Exchange and the Tel Aviv Stock Exchange, and it is part of the FTSE 250 Index.

The company engages in the exploration, development, and production of hydrocarbons, with significant assets in Israel, Greece, and Egypt. Notably, Energean has invested heavily in the Karish gas field in Israel, which is expected to produce around 8 billion cubic meters of natural gas annually. As of mid-2023, Energean reported an average production output of approximately 38,000 barrels of oil equivalent per day. The company aims to enhance energy security and diversification in the Mediterranean energy markets, primarily supplying natural gas to Israel and surrounding regions."
EquiLend Europe,"EquiLend Europe Limited, EquiLend Europe, EquiLend",http://www.equilend.com,http://www.linkedin.com/company/equilend,400,financial services,London,England,United Kingdom,,2001,Yes,2,"EquiLend is a global financial technology company founded in 2001 by a consortium of prominent financial institutions, including Barclays Global Investors and Goldman Sachs. The company specializes in securities finance, offering a comprehensive suite of technology solutions that span the entire transaction lifecycle, from pre-trade to post-trade processing, data analytics, and regulatory compliance.

EquiLend's core offerings include automated trading platforms, post-trade services, regulatory technology tools, and data analytics through its DataLend service. The Spire platform allows clients to manage their securities finance operations efficiently, while EquiLend 1Source utilizes blockchain technology to enhance operational efficiency. With nearly 200 clients worldwide, including asset owners and hedge funds, EquiLend executes over $2.4 trillion in transactions monthly. The company is recognized for its innovation and leadership in the industry, receiving multiple awards and certifications for its services and workplace culture."
